ID;Seccion;Requerimiento;Nivel de Cumplimiento;Comentarios del Proveedor;Solucion / Herramienta Propuesta;Esfuerzo;Fase
4.1.1-a;Plataforma;Plataforma unica para B2C, B2B e Interno con administracion centralizada y config diferenciada por canal;Requiere desarrollo;El modelo de canales existe (channels, product_channels, orders.channel_id) sobre catalogo unico. Falta la administracion por canal y las reglas diferenciadas.;Backoffice de canales + reglas por canal;M;F0-cimientos
4.1.1-b;Plataforma;Arquitectura headless o composable;Cumple;Backend Postgres + API REST/RPC desacoplada del frontend. La vitrina y el backoffice consumen la misma capa.;React + Vite (SPA) sobre PostgREST/Edge Functions;-;F0-cimientos
4.1.1-c;Plataforma;Despliegue en nube, con opcion hibrida justificada;Requiere desarrollo;Depende de la respuesta a la consulta A.1 sobre si Azure es mandatorio. Ver RFP_ALICORP_CONSULTAS.md.;Por definir segun respuesta de Alicorp;XL;F0-cimientos
4.1.2-a;Datos maestros;Catalogo unico con atributos extensibles, jerarquia de categorias, imagenes y contenido enriquecido;Requiere desarrollo;Catalogo, categorias jerarquicas e imagenes existen. custom_fields jsonb da extensibilidad. Falta contenido enriquecido (fichas tecnicas).;Extension del modulo de catalogo;M;F0-cimientos
4.1.2-b;Datos maestros;Multiples unidades de medida y venta (unidad, paquete, caja, palet) con factores de conversion;No cumple;No existe modelo de UoM. Hoy el producto tiene un solo precio y una sola unidad implicita.;Tablas uoms y product_uoms;M;F0-cimientos
4.1.2-c;Datos maestros;Listas de precios por canal, segmento y campana, con vigencias por fecha;No cumple;Hoy products.price es escalar. La infraestructura de vigencias ya existe y esta probada en tax_rates: mismo patron.;price_lists + price_list_items;L;F0-cimientos
4.1.2-d;Datos maestros;Maestro unico de clientes sincronizado con SAP, segmentado por canal y perfil;No cumple;No hay entidad cliente: el comprador B2C es anonimo. B2B necesita cuentas y usuarios.;customer_accounts + customer_users + adaptador SD-01;L;F0-cimientos
4.1.2-e;Datos maestros;Codigos de cliente anidados relacionados con un codigo maestro;No cumple;Depende de 4.1.2-d.;Jerarquia en customer_accounts;M;F0-cimientos
4.1.2-f;Datos maestros;Catalogo de miles de SKUs sin degradacion;Cumple;3.086 SKUs es volumen bajo para Postgres. Indices por tienda y canal ya definidos.;Postgres + indices;-;F0-cimientos
4.1.2-g;Datos maestros;Configuracion de catalogos, precios, promociones y reglas por herramientas de administracion, sin hardcode;Requiere desarrollo;Es principio de diseno del producto (AA0004). Catalogo, impuestos, monedas y branding ya se configuran sin despliegue. Falta precios y promociones.;Backoffice de precios y promociones;L;F0-cimientos
4.1.2-h;Datos maestros;Packs, combos y bundles con control de stock por componente;No cumple;No existe modelo de composicion de producto.;Modelo de bundle + reserva por componente;L;F0-cimientos
4.1.3-a;Integraciones;Integracion nativa bidireccional con SAP R/3 con reintentos, tolerancia a fallos y trazabilidad;No cumple;Es el camino critico del proyecto. Se propone capa anticorrupcion con outbox/inbox, circuit-breaker e idempotencia.;Framework de integraciones + adaptador SAP;XL;F0-cimientos
